  Lines          Copies        Function name
      44 (0.0%)      4 (0.0%)  core::ops::function::FnMut::call_mut
      44 (0.0%)      1 (0.0%)  core::iter::LoopState<<R as core::ops::try::Try>::Ok,R>::into_try
      44 (0.0%)      1 (0.0%)  ra_ssr::MatchFinder::new
      43 (0.0%)      1 (0.0%)  <rowan::cursor::SyntaxToken as core::clone::Clone>::clone
      43 (0.0%)      1 (0.0%)  hashbrown::raw::sse2::Group::convert_special_to_empty_and_full_to_deleted
      42 (0.0%)      3 (0.0%)  alloc::sync::Arc<T>::from_inner
      42 (0.0%)      3 (0.0%)  alloc::vec::IntoIter<T>::as_raw_mut_slice
      42 (0.0%)      3 (0.0%)  core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from
      42 (0.0%)      1 (0.0%)  <core::slice::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
      42 (0.0%)      1 (0.0%)  alloc::raw_vec::alloc_guard
      42 (0.0%)      1 (0.0%)  core::str::<impl str>::find
      40 (0.0%)      1 (0.0%)  <core::cmp::Ordering as core::cmp::PartialEq>::eq
      40 (0.0%)      1 (0.0%)  <ra_ssr::matching::PlaceholderMatch as core::fmt::Debug>::fmt
      40 (0.0%)      1 (0.0%)  <ra_ssr::parsing::Placeholder as core::fmt::Debug>::fmt
      39 (0.0%)      3 (0.0%)  <hashbrown::map::Iter<K,V> as core::iter::traits::iterator::Iterator>::next
      39 (0.0%)      3 (0.0%)  std::collections::hash::map::HashMap<K,V,S>::iter
      39 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::RangeTo<usize>>::index
      38 (0.0%)      3 (0.0%)  core::result::Result<T,E>::is_ok
      38 (0.0%)      2 (0.0%)  <std::collections::hash::map::HashMap<K,V,S> as core::fmt::Debug>::fmt
      38 (0.0%)      1 (0.0%)  <core::iter::adapters::Map<I,F> as core::iter::traits::iterator::Iterator>::try_fold
      38 (0.0%)      1 (0.0%)  <ra_parser::syntax_kind::generated::SyntaxKind as core::cmp::PartialEq>::eq
      38 (0.0%)      1 (0.0%)  <rowan::api::SyntaxNode<L> as core::clone::Clone>::clone
      38 (0.0%)      1 (0.0%)  <rowan::api::SyntaxToken<L> as core::clone::Clone>::clone
      38 (0.0%)      1 (0.0%)  std::thread::local::fast::destroy_value
      37 (0.0%)      1 (0.0%)  <ra_ssr::errors::SsrError as core::fmt::Display>::fmt
      37 (0.0%)      1 (0.0%)  core::iter::adapters::StepBy<I>::new
      36 (0.0%)      4 (0.0%)  core::mem::take
      36 (0.0%)      3 (0.0%)  alloc::vec::Vec<T>::with_capacity
      36 (0.0%)      2 (0.0%)  <alloc::vec::Vec<T> as alloc::vec::SpecExtend<T,I>>::spec_extend::{{closure}}
      36 (0.0%)      2 (0.0%)  alloc::sync::Arc<T>::from_raw
      36 (0.0%)      1 (0.0%)  core::core_arch::x86::sse2::_mm_cmpeq_epi8
      36 (0.0%)      1 (0.0%)  core::core_arch::x86::sse2::_mm_cmpgt_epi8
      36 (0.0%)      1 (0.0%)  core::option::Option<T>::unwrap_or
      35 (0.0%)      5 (0.0%)  hashbrown::raw::Bucket<T>::copy_from_nonoverlapping
      35 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T>::bucket
      35 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T>::ctrl
      35 (0.0%)      1 (0.0%)  <ra_ssr::parsing::Constraint as core::clone::Clone>::clone
      35 (0.0%)      1 (0.0%)  core::alloc::layout::Layout::from_size_align
      35 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::get_placeholder::{{closure}}
      34 (0.0%)      7 (0.0%)  core::ptr::const_ptr::<impl *const T>::is_null
      34 (0.0%)      3 (0.0%)  core::mem::zeroed
      34 (0.0%)      2 (0.0%)  core::iter::traits::iterator::Iterator::all::check::{{closure}}
      34 (0.0%)      2 (0.0%)  core::option::Option<T>::as_ref
      34 (0.0%)      1 (0.0%)  <alloc::boxed::Box<T> as core::clone::Clone>::clone
      34 (0.0%)      1 (0.0%)  <alloc::rc::Rc<T> as core::ops::drop::Drop>::drop
      34 (0.0%)      1 (0.0%)  <alloc::vec::Vec<T> as core::ops::index::Index<I>>::index
      34 (0.0%)      1 (0.0%)  <hashbrown::raw::ProbeSeq as core::iter::traits::iterator::Iterator>::next
      34 (0.0%)      1 (0.0%)  <rowan::cursor::SyntaxToken as core::cmp::PartialEq>::eq
      34 (0.0%)      1 (0.0%)  alloc::string::String::push
      34 (0.0%)      1 (0.0%)  core::num::<impl u32>::overflowing_sub
      34 (0.0%)      1 (0.0%)  core::num::<impl usize>::overflowing_add
      34 (0.0%)      1 (0.0%)  core::num::<impl usize>::overflowing_mul
      34 (0.0%)      1 (0.0%)  ra_ssr::<impl ra_ssr::matching::Match>::matched_text
      34 (0.0%)      1 (0.0%)  smol_str::Repr::len
      33 (0.0%)      3 (0.0%)  <T as core::convert::TryInto<U>>::try_into
      33 (0.0%)      3 (0.0%)  alloc::sync::Arc<T>::from_ptr
      33 (0.0%)      2 (0.0%)  core::iter::traits::iterator::Iterator::for_each::call::{{closure}}
      33 (0.0%)      1 (0.0%)  <[A] as core::slice::SlicePartialEq<A>>::equal
      33 (0.0%)      1 (0.0%)  <alloc::vec::Vec<T> as alloc::vec::SpecExtend<&T,core::slice::Iter<T>>>::spec_extend
      33 (0.0%)      1 (0.0%)  core::core_arch::simd::i8x16::new
      33 (0.0%)      1 (0.0%)  ra_hir_def::db::crate_def_map_wait
      32 (0.0%)      6 (0.0%)  <core::option::Option<T> as core::ops::try::Try>::from_error
      32 (0.0%)      4 (0.0%)  core::iter::traits::iterator::Iterator::map
      32 (0.0%)      2 (0.0%)  ra_ssr::errors::SsrError::new
      32 (0.0%)      2 (0.0%)  smol_str::SmolStr::new
      32 (0.0%)      1 (0.0%)  <rustc_hash::FxHasher as core::hash::Hasher>::write::{{closure}}
      32 (0.0%)      1 (0.0%)  core::num::<impl u32>::checked_sub
      32 (0.0%)      1 (0.0%)  core::num::<impl usize>::checked_add
      32 (0.0%)      1 (0.0%)  core::num::<impl usize>::checked_mul
      32 (0.0%)      1 (0.0%)  ra_ssr::matching::is_closing_token
      31 (0.0%)      1 (0.0%)  alloc::raw_vec::RawVec<T,A>::shrink_to_fit
      31 (0.0%)      1 (0.0%)  core::slice::<impl [T]>::split_at_mut
      30 (0.0%)     10 (0.1%)  core::ptr::mut_ptr::<impl *mut T>::add
      30 (0.0%)      5 (0.0%)  core::ptr::non_null::NonNull<T>::dangling
      30 (0.0%)      2 (0.0%)  alloc::sync::set_data_ptr
      30 (0.0%)      2 (0.0%)  ra_ssr::SsrPattern::tree_for_kind_with_reason::{{closure}}
      30 (0.0%)      2 (0.0%)  std::collections::hash::set::HashSet<T,S>::insert
      30 (0.0%)      1 (0.0%)  <ra_ssr::SsrRule as core::fmt::Debug>::fmt
      30 (0.0%)      1 (0.0%)  <ra_ssr::parsing::Token as core::fmt::Debug>::fmt
      30 (0.0%)      1 (0.0%)  core::fmt::Arguments::new_v1_formatted
      30 (0.0%)      1 (0.0%)  core::num::<impl u16>::from_ne_bytes
      30 (0.0%)      1 (0.0%)  core::num::<impl u32>::from_ne_bytes
      30 (0.0%)      1 (0.0%)  core::num::<impl u64>::from_ne_bytes
      30 (0.0%)      1 (0.0%)  core::sync::atomic::atomic_add
      30 (0.0%)      1 (0.0%)  core::sync::atomic::atomic_sub
      30 (0.0%)      1 (0.0%)  hashbrown::raw::sse2::Group::match_byte
      29 (0.0%)      3 (0.0%)  core::mem::maybe_uninit::MaybeUninit<T>::zeroed
      29 (0.0%)      2 (0.0%)  alloc::raw_vec::finish_grow::{{closure}}
      29 (0.0%)      1 (0.0%)  alloc::alloc::exchange_malloc
      28 (0.0%)      4 (0.0%)  <alloc::vec::Vec<T> as core::fmt::Debug>::fmt
      28 (0.0%)      1 (0.0%)  std::thread::local::fast::Key<T>::try_register_dtor
      27 (0.0%)      6 (0.0%)  <&T as core::fmt::Display>::fmt
      27 (0.0%)      1 (0.0%)  <parking_lot::raw_mutex::RawMutex as lock_api::mutex::RawMutex>::lock
      27 (0.0%)      1 (0.0%)  core::fmt::Arguments::new_v1
      27 (0.0%)      1 (0.0%)  ra_ssr::SsrPattern::tree_for_kind_with_reason
      27 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::get_placeholder
      27 (0.0%)      1 (0.0%)  salsa::Database::sweep_all
      26 (0.0%)     13 (0.1%)  <T as core::convert::From<T>>::from
      26 (0.0%)      2 (0.0%)  <core::iter::adapters::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::try_fold::check
      26 (0.0%)      2 (0.0%)  core::iter::traits::iterator::Iterator::all
      26 (0.0%)      1 (0.0%)  <core::iter::adapters::StepBy<I> as core::iter::traits::iterator::Iterator>::next
      26 (0.0%)      1 (0.0%)  alloc::str::join_generic_copy::{{closure}}
      26 (0.0%)      1 (0.0%)  core::fmt::num::<impl core::fmt::Debug for i32>::fmt
      26 (0.0%)      1 (0.0%)  core::fmt::num::<impl core::fmt::Debug for usize>::fmt
      26 (0.0%)      1 (0.0%)  core::sync::atomic::atomic_load
      26 (0.0%)      1 (0.0%)  rowan::cursor::<impl rowan::utility_types::NodeOrToken<rowan::cursor::SyntaxNode,rowan::cursor::SyntaxToken>>::first_token
      26 (0.0%)      1 (0.0%)  std::panicking::begin_panic::PanicPayload<A>::new
      25 (0.0%)      5 (0.0%)  <std::collections::hash::map::HashMap<K,V,S> as core::default::Default>::default
      25 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T>::num_ctrl_bytes
      25 (0.0%)      5 (0.0%)  std::thread::local::LocalKey<T>::with
      25 (0.0%)      1 (0.0%)  alloc::rc::RcBoxPtr::inc_strong
      25 (0.0%)      1 (0.0%)  alloc::sync::Arc<[T]>::allocate_for_slice
      25 (0.0%)      1 (0.0%)  core::iter::sources::successors
      25 (0.0%)      1 (0.0%)  rowan::api::<impl rowan::utility_types::NodeOrToken<rowan::api::SyntaxNode<L>,rowan::api::SyntaxToken<L>>>::text_range
      24 (0.0%)      3 (0.0%)  <std::collections::hash::map::Iter<K,V> as core::iter::traits::iterator::Iterator>::next
      24 (0.0%)      3 (0.0%)  hashbrown::map::HashMap<K,V,S>::get
      24 (0.0%)      2 (0.0%)  <std::collections::hash::set::HashSet<T,S> as core::default::Default>::default
      24 (0.0%)      2 (0.0%)  core::iter::adapters::Cloned<I>::new
      24 (0.0%)      2 (0.0%)  ra_ssr::MatchFinder::output_debug_for_nodes_at_range::{{closure}}
      24 (0.0%)      1 (0.0%)  <core::num::NonZeroUsize as core::cmp::PartialOrd>::partial_cmp
      24 (0.0%)      1 (0.0%)  core::iter::adapters::Peekable<I>::new
      24 (0.0%)      1 (0.0%)  core::iter::traits::iterator::Iterator::count::add1
      24 (0.0%)      1 (0.0%)  core::str::<impl str>::bytes
      24 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::RangeFrom<usize>>::get
      24 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::RangeTo<usize>>::get
      24 (0.0%)      1 (0.0%)  ra_ssr::matching::get_match
      24 (0.0%)      1 (0.0%)  text_size::range::TextRange::new
      23 (0.0%)      1 (0.0%)  ra_hir::semantics::Semantics<DB>::new
      23 (0.0%)      1 (0.0%)  rowan::api::<impl core::fmt::Display for rowan::utility_types::NodeOrToken<rowan::api::SyntaxNode<L>,rowan::api::SyntaxToken<L>>>::fmt
      22 (0.0%)      2 (0.0%)  core::iter::adapters::copy_try_fold::{{closure}}
      22 (0.0%)      2 (0.0%)  core::iter::traits::iterator::Iterator::count
      22 (0.0%)      1 (0.0%)  <alloc::sync::Arc<T> as core::clone::Clone>::clone
      22 (0.0%)      1 (0.0%)  <core::ops::range::RangeFrom<usize> as core::slice::SliceIndex<[T]>>::index
      22 (0.0%)      1 (0.0%)  <core::str::pattern::MatchOnly as core::str::pattern::TwoWayStrategy>::matching
      22 (0.0%)      1 (0.0%)  alloc::boxed::Box<T>::leak
      22 (0.0%)      1 (0.0%)  hashbrown::raw::RawTable<T>::bucket_index
      22 (0.0%)      1 (0.0%)  thin_dst::ThinData<Head,SliceItem>::fatten_const
      21 (0.0%)      7 (0.0%)  alloc::vec::Vec<T>::len
      21 (0.0%)      3 (0.0%)  alloc::raw_vec::RawVec<T,A>::with_capacity_in
      21 (0.0%)      3 (0.0%)  alloc::raw_vec::RawVec<T>::with_capacity
      21 (0.0%)      3 (0.0%)  alloc::vec::Vec<T>::extend_from_slice
      21 (0.0%)      3 (0.0%)  core::array::<impl core::convert::TryFrom<&[T]> for [T; N]>::try_from::{{closure}}
      21 (0.0%)      3 (0.0%)  core::cmp::impls::<impl core::cmp::PartialEq<&B> for &A>::eq
      21 (0.0%)      3 (0.0%)  core::str::traits::<impl core::ops::index::Index<I> for str>::index
      21 (0.0%)      1 (0.0%)  <alloc::alloc::Global as core::alloc::AllocRef>::dealloc
      21 (0.0%)      1 (0.0%)  <parking_lot::raw_mutex::RawMutex as lock_api::mutex::RawMutex>::unlock
      21 (0.0%)      1 (0.0%)  alloc::raw_vec::RawVec<T,A>::shrink::{{closure}}
      21 (0.0%)      1 (0.0%)  alloc::sync::Arc<[T]>::copy_from_slice
      21 (0.0%)      1 (0.0%)  core::iter::adapters::Peekable<I>::peek
      21 (0.0%)      1 (0.0%)  hashbrown::raw::bitmask::BitMask::lowest_set_bit
      20 (0.0%)     10 (0.1%)  <hashbrown::scopeguard::ScopeGuard<T,F> as core::ops::deref::Deref>::deref
      20 (0.0%)     10 (0.1%)  <hashbrown::scopeguard::ScopeGuard<T,F> as core::ops::deref::DerefMut>::deref_mut
      20 (0.0%)      6 (0.0%)  core::mem::forget
      20 (0.0%)      5 (0.0%)  core::cmp::PartialEq::ne
      20 (0.0%)      4 (0.0%)  <core::option::Option<T> as core::default::Default>::default
      20 (0.0%)      2 (0.0%)  <core::iter::LoopState<C,B> as core::ops::try::Try>::from_error
      20 (0.0%)      2 (0.0%)  <core::iter::LoopState<C,B> as core::ops::try::Try>::from_ok
      20 (0.0%)      1 (0.0%)  <core::iter::adapters::TakeWhile<I,P> as core::iter::traits::iterator::Iterator>::fold::ok::{{closure}}
      20 (0.0%)      1 (0.0%)  <core::ops::range::RangeTo<usize> as core::slice::SliceIndex<[T]>>::index
      20 (0.0%)      1 (0.0%)  <core::ops::range::RangeTo<usize> as core::slice::SliceIndex<[T]>>::index_mut
      20 (0.0%)      1 (0.0%)  <ra_ssr::SsrMatches as core::fmt::Debug>::fmt
      20 (0.0%)      1 (0.0%)  <ra_ssr::errors::SsrError as core::fmt::Debug>::fmt
      20 (0.0%)      1 (0.0%)  <ra_ssr::matching::MatchFailureReason as core::fmt::Debug>::fmt
      20 (0.0%)      1 (0.0%)  <ra_ssr::matching::Var as core::fmt::Debug>::fmt
      20 (0.0%)      1 (0.0%)  <ra_ssr::parsing::RawSearchPattern as core::fmt::Debug>::fmt
      20 (0.0%)      1 (0.0%)  <ra_ssr::parsing::SsrTemplate as core::fmt::Debug>::fmt
      20 (0.0%)      1 (0.0%)  core::alloc::AllocInit::init_offset
      20 (0.0%)      1 (0.0%)  core::alloc::layout::Layout::pad_to_align
      20 (0.0%)      1 (0.0%)  core::str::<impl str>::chars
      20 (0.0%)      1 (0.0%)  rowan::api::<impl rowan::utility_types::NodeOrToken<rowan::api::SyntaxNode<L>,rowan::api::SyntaxToken<L>>>::kind
      19 (0.0%)      4 (0.0%)  core::intrinsics::write_bytes
      19 (0.0%)      1 (0.0%)  <alloc::sync::Arc<str> as core::convert::From<&str>>::from
      19 (0.0%)      1 (0.0%)  <core::ops::range::Range<usize> as core::slice::SliceIndex<[T]>>::index
      19 (0.0%)      1 (0.0%)  <core::ops::range::Range<usize> as core::slice::SliceIndex<[T]>>::index_mut
      19 (0.0%)      1 (0.0%)  <hashbrown::map::IterMut<K,V> as core::iter::traits::iterator::Iterator>::next::{{closure}}
      19 (0.0%)      1 (0.0%)  core::char::methods::len_utf8
      19 (0.0%)      1 (0.0%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
      19 (0.0%)      1 (0.0%)  core::str::traits::<impl core::cmp::PartialEq for str>::eq
      19 (0.0%)      1 (0.0%)  core::sync::atomic::fence
      19 (0.0%)      1 (0.0%)  text_size::range::TextRange::cover
      18 (0.0%)      9 (0.1%)  <core::mem::manually_drop::ManuallyDrop<T> as core::ops::deref::Deref>::deref
      18 (0.0%)      3 (0.0%)  core::ptr::unique::Unique<T>::dangling
      18 (0.0%)      2 (0.0%)  core::iter::adapters::TakeWhile<I,P>::new
      18 (0.0%)      1 (0.0%)  <ra_ssr::parsing::Token as core::clone::Clone>::clone
      18 (0.0%)      1 (0.0%)  <text_size::range::TextRange as core::cmp::PartialEq>::eq
      18 (0.0%)      1 (0.0%)  <text_size::size::TextSize as core::cmp::Ord>::cmp
      18 (0.0%)      1 (0.0%)  core::cmp::impls::<impl core::cmp::Ord for u32>::cmp
      18 (0.0%)      1 (0.0%)  core::cmp::impls::<impl core::cmp::Ord for usize>::cmp
      18 (0.0%)      1 (0.0%)  core::str::<impl str>::as_bytes
      18 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::RangeFrom<usize>>::get_unchecked
      18 (0.0%)      1 (0.0%)  core::str::unwrap_or_0
      17 (0.0%)      3 (0.0%)  core::slice::<impl core::ops::index::Index<I> for [T]>::index
      17 (0.0%)      1 (0.0%)  core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once
      17 (0.0%)      1 (0.0%)  parking_lot::condvar::Condvar::notify_one
      16 (0.0%)      4 (0.0%)  core::option::Option<T>::take
      16 (0.0%)      4 (0.0%)  ra_ssr::matching::record_match_fails_reasons_scope::{{closure}}
      16 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::DefDatabase>::attrs
      16 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::DefDatabase>::documentation
      16 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::DefDatabase>::lang_item
      16 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::generic_defaults
      16 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::generic_predicates
      16 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::generic_predicates_for_param
      16 (0.0%)      1 (0.0%)  <rowan::api::SyntaxNode<L> as core::cmp::PartialEq>::ne
      16 (0.0%)      1 (0.0%)  <thin_dst::ThinArc<Head,SliceItem> as core::ops::drop::Drop>::drop
      16 (0.0%)      1 (0.0%)  <usize as core::iter::range::Step>::forward_checked
      16 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::Range<usize>>::get_unchecked
      16 (0.0%)      1 (0.0%)  salsa::Database::sweep_all::{{closure}}
      15 (0.0%)      5 (0.0%)  core::ptr::mut_ptr::<impl *mut T>::copy_from_nonoverlapping
      15 (0.0%)      5 (0.0%)  hashbrown::raw::Bucket<T>::as_mut
      15 (0.0%)      5 (0.0%)  hashbrown::raw::Bucket<T>::as_ref
      15 (0.0%)      3 (0.0%)  core::cell::Cell<T>::set
      15 (0.0%)      1 (0.0%)  <rowan::api::SyntaxToken<L> as core::convert::From<rowan::cursor::SyntaxToken>>::from
      15 (0.0%)      1 (0.0%)  alloc::vec::Vec<T>::shrink_to_fit
      15 (0.0%)      1 (0.0%)  core::core_arch::x86::m128iExt::as_i8x16
      15 (0.0%)      1 (0.0%)  hashbrown::map::HashMap<K,V,S>::iter_mut
      15 (0.0%)      1 (0.0%)  ra_ssr::matching::get_match::{{closure}}
      14 (0.0%)      7 (0.0%)  core::slice::<impl [T]>::as_ptr
      14 (0.0%)      2 (0.0%)  <alloc::vec::Vec<T> as alloc::vec::SpecExtend<&T,I>>::spec_extend
      14 (0.0%)      2 (0.0%)  <alloc::vec::Vec<T> as core::clone::Clone>::clone
      14 (0.0%)      2 (0.0%)  <core::iter::adapters::Cloned<I> as core::iter::traits::iterator::Iterator>::next
      14 (0.0%)      2 (0.0%)  core::iter::traits::iterator::Iterator::cloned
      14 (0.0%)      1 (0.0%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::get
      14 (0.0%)      1 (0.0%)  <usize as core::slice::SliceIndex<[T]>>::get
      14 (0.0%)      1 (0.0%)  alloc::str::<impl alloc::borrow::ToOwned for str>::to_owned
      14 (0.0%)      1 (0.0%)  alloc::str::<impl alloc::slice::Join<&str> for [S]>::join
      14 (0.0%)      1 (0.0%)  alloc::sync::data_offset_align
      14 (0.0%)      1 (0.0%)  core::alloc::layout::Layout::from_size_align_unchecked
      14 (0.0%)      1 (0.0%)  core::core_arch::x86::sse2::_mm_movemask_epi8
      14 (0.0%)      1 (0.0%)  core::fmt::Write::write_fmt
      14 (0.0%)      1 (0.0%)  core::ptr::non_null::NonNull<T>::new
      14 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::Range<usize>>::index::{{closure}}
      14 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::RangeFrom<usize>>::index::{{closure}}
      14 (0.0%)      1 (0.0%)  rowan::api::SyntaxNode<L>::children
      14 (0.0%)      1 (0.0%)  rowan::api::SyntaxNode<L>::children_with_tokens
      13 (0.0%)      3 (0.0%)  core::cell::Cell<T>::get
      13 (0.0%)      1 (0.0%)  <core::option::Option<T> as core::ops::try::Try>::from_ok
      13 (0.0%)      1 (0.0%)  <hashbrown::map::IterMut<K,V> as core::iter::traits::iterator::Iterator>::next
      13 (0.0%)      1 (0.0%)  <ra_hir_expand::name::Name as core::clone::Clone>::clone
      13 (0.0%)      1 (0.0%)  <ra_ssr::parsing::SsrTemplate as core::clone::Clone>::clone
      13 (0.0%)      1 (0.0%)  <smol_str::SmolStr as core::clone::Clone>::clone
      13 (0.0%)      1 (0.0%)  alloc::string::String::from_utf8_unchecked
      13 (0.0%)      1 (0.0%)  alloc::vec::SetLenOnDrop::new
      13 (0.0%)      1 (0.0%)  core::alloc::layout::Layout::padding_needed_for
      13 (0.0%)      1 (0.0%)  core::char::methods::<impl char>::encode_utf8
      13 (0.0%)      1 (0.0%)  core::core_arch::x86::sse2::_mm_undefined_si128
      13 (0.0%)      1 (0.0%)  core::str::traits::<impl core::slice::SliceIndex<str> for core::ops::range::RangeTo<usize>>::get_unchecked
      13 (0.0%)      1 (0.0%)  hashbrown::raw::h2
      13 (0.0%)      1 (0.0%)  std::collections::hash::map::HashMap<K,V,S>::iter_mut
      12 (0.0%)      4 (0.0%)  core::ptr::mut_ptr::<impl *mut T>::write_bytes
      12 (0.0%)      4 (0.0%)  core::slice::size_from_ptr
      12 (0.0%)      3 (0.0%)  <&mut I as core::iter::traits::exact_size::ExactSizeIterator>::len
      12 (0.0%)      3 (0.0%)  alloc::vec::Vec<T>::capacity
      12 (0.0%)      3 (0.0%)  alloc::vec::Vec<T>::is_empty
      12 (0.0%)      2 (0.0%)  core::iter::adapters::map_fold
      12 (0.0%)      2 (0.0%)  core::option::Option<&T>::cloned
      12 (0.0%)      1 (0.0%)  <&mut W as core::fmt::Write>::write_fmt
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::DefDatabase>::generic_params
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::DefDatabase>::item_tree
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::InternDatabase>::intern_const
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::InternDatabase>::intern_enum
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::InternDatabase>::intern_function
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::InternDatabase>::intern_impl
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::InternDatabase>::intern_static
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::InternDatabase>::intern_struct
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::InternDatabase>::intern_trait
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::InternDatabase>::intern_type_alias
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_def::db::InternDatabase>::intern_union
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_expand::db::AstDatabase>::ast_id_map
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_expand::db::AstDatabase>::intern_eager_expansion
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_expand::db::AstDatabase>::intern_macro
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_expand::db::AstDatabase>::macro_def
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_expand::db::AstDatabase>::parse_or_expand
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::callable_item_signature
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::field_types
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::intern_assoc_ty_value
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::intern_callable_def
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::intern_chalk_impl
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::intern_type_ctor
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::intern_type_param_id
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::trait_solve
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::ty
      12 (0.0%)      1 (0.0%)  <DB as ra_hir_ty::db::HirDatabase>::value_ty
      12 (0.0%)      1 (0.0%)  <alloc::string::String as core::ops::deref::Deref>::deref
      12 (0.0%)      1 (0.0%)  <alloc::string::String as core::ops::index::Index<core::ops::range::RangeFull>>::index
      12 (0.0%)      1 (0.0%)  <core::iter::adapters::Map<I,F> as core::iter::traits::iterator::Iterator>::next
      12 (0.0%)      1 (0.0%)  <core::ops::range::Range<usize> as core::slice::SliceIndex<[T]>>::get_unchecked
      12 (0.0%)      1 (0.0%)  <core::ops::range::Range<usize> as core::slice::SliceIndex<[T]>>::get_unchecked_mut
      12 (0.0%)      1 (0.0%)  <ra_ssr::SsrMatches as core::default::Default>::default
      12 (0.0%)      1 (0.0%)  <ra_text_edit::TextEditBuilder as core::default::Default>::default
      12 (0.0%)      1 (0.0%)  <salsa::revision::Revision as core::cmp::PartialOrd>::gt
      12 (0.0%)      1 (0.0%)  <text_size::size::TextSize as core::cmp::PartialOrd>::le
      12 (0.0%)      1 (0.0%)  alloc::alloc::alloc
      12 (0.0%)      1 (0.0%)  alloc::alloc::alloc_zeroed
      12 (0.0%)      1 (0.0%)  alloc::alloc::dealloc
      12 (0.0%)      1 (0.0%)  alloc::alloc::realloc
      12 (0.0%)      1 (0.0%)  alloc::string::String::new
      12 (0.0%)      1 (0.0%)  alloc::sync::Arc<T>::as_ptr
      12 (0.0%)      1 (0.0%)  core::any::TypeId::of
      12 (0.0%)      1 (0.0%)  core::core_arch::x86::sse2::_mm_set_epi8
      12 (0.0%)      1 (0.0%)  core::iter::adapters::Copied<I>::new
      12 (0.0%)      1 (0.0%)  core::iter::adapters::Rev<T>::new
      12 (0.0%)      1 (0.0%)  core::slice::<impl [T]>::first
      12 (0.0%)      1 (0.0%)  core::sync::atomic::AtomicU8::compare_exchange
      12 (0.0%)      1 (0.0%)  core::sync::atomic::AtomicU8::compare_exchange_weak
      12 (0.0%)      1 (0.0%)  hashbrown::raw::bitmask::BitMask::lowest_set_bit_nonzero
